PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
48	Unknown	72	0.08901667	0.6389167	1.18915	18.75869	19.72067	21.16365	161.8562	228.2078	3766.667	121650	228.203	[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	75.33334	228.20258:362	227.19:278 227.201:4209 228.203:701
49	Unknown	14	0.2462833	0.6389167	1.0319	-1	-1	-1	-1	229.2067	641	5112.753		[M-H]-	M + 2	isotope of 74	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.82		
50	Unknown	72	0.2462833	0.6389167	1.0319	18.87894	19.72067	20.44216	161.8177	229.2067	597	15634.63	228.203	[M-H]-	M + 2		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	11.94		227.19:278 227.201:4209 228.203:701
51	w/o MS2:Palmitoleic acid	14	0.482	0.6389167	1.110367	-1	-1	-1	-1	253.2171	42549	493100.9		[M-H]-	M + 0	found in higher mz's MsMs_52; found in higher mz's MsMs_27	null	null	253.2173	C16H30O2	Long-chain fatty acids	SECPZKHBENQXJG-UHFFFAOYSA-N	O=C(O)CCCCCCCC=CCCCCCC	530	True	True	True	False	null	93.5	null	null	null	100	850.6866	253.21707:19066 254.21956:3937 255.22955:14745 256.23047:1551	
52	w/o MS2:Palmitoleic acid	79	0.482	0.6389167	1.110367	19.60042	20.56241	21.76489	167.849	253.2171	31912.67	1106284	255.23	[M-H]-	M + 0		null	171.508	253.2173	C16H30O2	Long-chain fatty acids	SECPZKHBENQXJG-UHFFFAOYSA-N	O=C(O)CCCCCCCC=CCCCCCC	510	True	True	True	False	null	93.5	null	null	null	100	638.2534	253.20605:435 253.21707:2930 254.21956:721 255.22955:1681 256.23602:166	98.067:51 227.201:40 253.20599:57 253.217:747 254.22:0 255.23:5983 256.23599:927
53	Unknown	14	0.08901667	0.6389167	1.110367	-1	-1	-1	-1	254.2196	8456.667	94581.53		[M-H]-	M + 1	isotope of 25	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	169.1333	254.21956:3937 255.22955:14745 256.23047:1551	
54	Unknown	79	0.08901667	0.6389167	1.110367	19.60042	20.56241	21.40414	167.8161	254.2196	7041	219463.4	255.23	[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	140.82	254.21956:721 255.22955:1681 256.23602:166	98.067:51 227.201:40 253.20599:57 253.217:747 254.22:0 255.23:5983 256.23599:927
55	w/o MS2:Palmitic acid	14	0.3247333	0.6389167	1.0319	-1	-1	-1	-1	255.2296	29598.67	362774.9		[M-H]-	M + 0	found in higher mz's MsMs_52	null	null	255.23296	C16H32O2	Long-chain fatty acids	IPCSVZSSVZVIGE-UHFFFAOYSA-N	O=C(O)CCCCCCCCCCCCCCC	530	True	True	True	False	null	96.9	null	null	null	94.4	588.7534	255.22955:14745 256.23047:1551	
56	w/o MS2:Palmitic acid	80	0.3247333	0.6389167	1.0319	19.72067	20.68266	21.52439	168.764	255.2296	21099.33	705160.9	255.23	[M-H]-	M + 0		null	171.289	255.23296	C16H32O2	Long-chain fatty acids	IPCSVZSSVZVIGE-UHFFFAOYSA-N	O=C(O)CCCCCCCCCCCCCCC	510	True	True	True	False	null	96.9	null	null	null	94.4	421.9867	255.22955:2153 256.23602:242	227.19501:26 253.20599:56 253.217:745 254.22:0 255.23:5892 256.23001:1018
57	Unknown	14	0.12825	0.6389167	1.1496	-1	-1	-1	-1	255.3179	704.6667	5925.548		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	14.09333	255.22955:14745 256.23047:1551	
58	Unknown	80	0.12825	0.6389167	1.1496	19.96117	20.68266	21.40414	168.7611	255.3179	654	17214.71	255.23	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	13.08	255.22955:2153 256.23602:242	227.19501:61 253.20599:715 253.217:4126 254.22:943 255.23:5983 256.23001:940
59	Unknown	14	0.08901667	0.6389167	1.30685	-1	-1	-1	-1	257.2389	443	3708.364		[M-H]-	M + 2	isotope of 27	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.86		
60	Unknown	80	0.08901667	0.6389167	1.30685	20.08142	20.68266	21.40414	168.6988	257.2389	444.3333	10641.96	255.23	[M-H]-	M + 2		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.886666		227.19501:26 253.20599:56 253.217:745 254.22:0 255.23:6119 256.23001:1018
61	Unknown	14	0.08901667	0.6389167	1.424883	-1	-1	-1	-1	265.1467	4787	55604.23		[M-H]-	M + 0	similar chromatogram in higher mz_33; similar chromatogram in higher mz_39; similar chromatogram in higher mz_40; similar chromatogram in higher mz_42; similar chromatogram in higher mz_43; similar chromatogram in higher mz_47; similar chromatogram in higher mz_50; similar chromatogram in higher mz_51; similar chromatogram in higher mz_52; similar chromatogram in higher mz_62; found in higher mz's MsMs_62	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	95.74	265.14673:2275 266.14999:267 267.22861:393 269.21078:2295 269.25052:830	
62	Unknown	77	0.08901667	0.6389167	1.424883	19.48018	20.32191	21.40414	165.5143	265.1467	4428	138410.3	265.141	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	88.56	265.13547:89 265.14673:522	227.19501:45 248.965:1195 265.14099:375
63	Unknown	14	0.08901667	0.6389167	1.18915	-1	-1	-1	-1	267.1438	336.6667	2766.975		[M-H]-	M + 2	isotope of 30	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.733333	267.22861:393 269.21078:2295 269.25052:830 270.21033:359 271.22308:865	
64	Unknown	77	0.08901667	0.6389167	1.18915	19.72067	20.32191	21.0434	165.4552	267.1438	345.6667	7871.437	265.141	[M-H]-	M + 2		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.913333		227.19501:45 248.965:1134 265.14099:375
65	w/o MS2:Oleic acid	14	0.4035333	0.6389167	1.110367	-1	-1	-1	-1	281.2462	27341.67	330185.7		[M-H]-	M + 0		null	null	281.2486	C18H34O2	Long-chain fatty acids	ZQPPMHVWECSIRJ-UHFFFAOYSA-N	O=C(O)CCCCCCCC=CCCCCCCCC	530	True	True	True	False	null	90	null	null	null	74.1	546.8333	281.23456:760 281.24615:13413 282.25034:2302 283.26212:10544 284.26404:1731	
66	w/o MS2:Oleic acid	87	0.4035333	0.6389167	1.110367	20.56241	21.52439	22.36613	174.8251	281.2462	19774.67	658162.1	281.246	[M-H]-	M + 0		null	179.428	281.2486	C18H34O2	Long-chain fatty acids	ZQPPMHVWECSIRJ-UHFFFAOYSA-N	O=C(O)CCCCCCCC=CCCCCCCCC	510	True	True	True	False	null	90	null	null	null	74.1	395.4933	281.23456:133 281.24615:2036 282.25034:391 283.26212:744 284.26404:64	281.23499:323 281.246:7726 282.25:1638
