"PrecursorName.Replicate","PrecursorName","Label","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","featTarget","Total.Area","Precursor.Mz","Precursor.SignalToNoise","CountFragments"
"raw20619.Aniger_SF42_IMS_13_29_20V_25Aug20","raw20619","target",0.996828398265233,0.039327683210007,-0.00666666666666667,0.0196638416050035,0.0133333333333333,22.6619504897526,6.6,0.997456165060076,20619,159616,371.97479,31470,6
"raw20619.Aniger_SF42_IMS_14_30_20V_25Aug20","raw20619","target",0.999277921010944,0.02,-0.01,0.0310912635102961,-0.015,36.413275967244,3.6,0.987889819362572,20619,111271,371.97479,19843,4
"raw20619.Aniger_SF42_IMS_15_31_20V_25Aug20","raw20619","target",0.998537729408878,0,0,0.014142135623731,-0.01,40.8823821060694,1.075,0.978438221565851,20619,127377,371.97479,21218,4
"raw20619.Aniger_SF53_IMS_17_33_20V_25Aug20","raw20619","target",0.99928122963199,0.0252982212813471,0,0.037638632635454,-0.0183333333333333,31.7926878385581,0.95,0.99403605708922,20619,127396,371.97479,18522,6
"raw20619.Aniger_SF53_IMS_18_34_20V_25Aug20","raw20619","target",0.99858668169804,0.0219089023002067,-0.02,0.0231660671385254,0.00833333333333334,27.8339840243302,0.833333333333334,0.996986028880077,20619,122516,371.97479,22306,6
"raw20619.Aniger_SF53_IMS_19_35_20V_25Aug20","raw20619","target",0.994651947498551,0.0484424056655599,0.0266666666666667,0.109255053277488,0.00166666666666667,18.9632715180337,5.01666666666667,0.997080723489845,20619,126096,371.97479,25976,6
"raw20619.Aniger_SF53_IMS_20_36_20V_25Aug20","raw20619","target",0.999528664918954,0.0413118223595458,0.0133333333333333,0.0466547603859099,-0.0116666666666667,20.978751154442,6.2,0.997268168874383,20619,138922,371.97479,31687,6
"raw20619.Aniger_SF53_IMS_21_37_20V_25Aug20","raw20619","target",0.999774546872042,0.0505964425626941,0,0.0306050104830347,0.0183333333333333,34.7757051210564,-4.41666666666667,0.995040312856759,20619,90938,371.97479,23059,6
"raw20619.Aniger_SF53_IMS_22_38_20V_25Aug20","raw20619","target",0.999870266530589,0.0219089023002067,0.024,0.0260768096208106,0.00600000000000001,28.2916948944385,4.7,0.995002125129084,20619,134276,371.97479,25895,5
"raw20619.Aniger_SF53_IMS_23_39_20V_25Aug20","raw20619","target",0.99985144611986,0.0334664010613631,-0.02,0.0516397779494322,0.0233333333333333,32.0060254743801,2.38333333333333,0.995539837655612,20619,115691,371.97479,25411,6
"raw20619.Aniger_SF53_IMS_24_40_20V_25Aug20","raw20619","target",0.998133857952519,0.05076087732365,-0.0516666666666666,0.039327683210007,0.0366666666666667,20.4266900565575,11.7833333333333,0.995560945136331,20619,156326,371.97479,35799,6
"raw20619.Aniger_SF53_IMS_25_41_20V_25Aug20","raw20619","target",0.999199285868202,0.0515428624221303,0.0183333333333332,0.0187082869338697,0.005,30.1223781708328,3.41666666666667,0.994088966133234,20619,151720,371.97479,29232,6
"raw20619.Aniger_SF53_IMS_26_42_20V_25Aug20","raw20619","target",0.99916805001488,0.0640832791503889,0.0333333333333334,0.0484424056655599,0.00666666666666667,25.1957668402187,5.16666666666667,0.995013788468605,20619,111445,371.97479,24394,6
"raw20619.Aniger_SF53_IMS_27_43_20V_25Aug20","raw20619","target",0.996461279297685,0.02,0.01,0.125797456254091,-0.0625,17.2097840389317,19.25,0.978427392018496,20619,179145,371.97479,37702,4
"raw20619.Aniger_SF53_IMS_28_44_20V_25Aug20","raw20619","target",0.99835357871446,0.0301109061083633,0.0333333333333334,0.0265832027165025,0.0366666666666667,22.2936239016152,6.98333333333333,0.997214222342029,20619,171276,371.97479,41339,6
"raw20619.Aniger_SF53_IMS_29_45_20V_25Aug20","raw20619","target",0.999414192070599,0.0522357294250922,-0.0142857142857142,0.0242997158517582,0.0528571428571429,20.7905312696956,1.65714285714286,0.998645764898326,20619,128645,371.97479,27680,7
"raw20619.Aniger_SF53_IMS_30_46_20V_25Aug20","raw20619","target",0.999290859326449,0.0392003401345789,-0.0183333333333334,0.0263944438597722,-0.00166666666666666,24.9656297069925,3.96666666666667,0.997087615857594,20619,143018,371.97479,24977,6
"raw20619.Aniger_SF53_IMS_31_47_20V_25Aug20","raw20619","target",0.998932148564594,0.053807416730764,0.00571428571428572,0.0365148371670111,0.02,16.9114218939801,6.24285714285714,0.998430037150572,20619,136878,371.97479,17762,7
"raw20619.Aniger_SF53_IMS_32_48_20V_25Aug20","raw20619","target",0.9992894790087,0.0206559111797729,-0.0533333333333334,0.0314112506383727,-0.0133333333333333,19.456078741617,8.75,0.996120650283485,20619,132955,371.97479,23013,6
"raw20619.Apseud_SF42_IMS_01_01_20V_25Aug20","raw20619","target",0.995972095664512,0.0206559111797729,-0.0533333333333334,0.0408248290463863,0.00666666666666667,28.5495183847294,4.65,0.994754642583921,20619,130019,371.97479,28795,6
"raw20619.Apseud_SF42_IMS_02_02_20V_25Aug20","raw20619","target",0.999955241879695,0.0206559111797729,0.0266666666666667,0.0366969571853944,-0.00666666666666666,28.7171029179477,1.7,0.994787511323972,20619,132575,371.97479,30810,6
"raw20619.Apseud_SF42_IMS_03_03_20V_25Aug20","raw20619","target",0.996201581232863,0.0326598632371091,0.0266666666666667,0.0233809038890002,0.0266666666666667,25.2316005569735,2.98333333333333,0.997165280275113,20619,124921,371.97479,33309,6
"raw20619.Apseud_SF42_IMS_05_05_20V_25Aug20","raw20619","target",0.999748107445485,0.0178885438199983,-0.00800000000000001,0.0270185121722126,-0.00600000000000001,34.9577888316753,-0.48,0.992702132141928,20619,105492,371.97479,20195,5
"raw20619.Apseud_SF42_IMS_06_06_20V_25Aug20","raw20619","target",0.997408273957138,0.0206559111797729,0.0133333333333333,0.0271416039810964,0.0316666666666667,31.5508267192267,0.833333333333333,0.995605769592402,20619,95856,371.97479,19702,6
"raw20619.Apseud_SF42_IMS_07_07_20V_25Aug20","raw20619","target",0.993884873002213,0.0688234456175123,-0.0216666666666667,0.022286019533929,0.00166666666666666,27.657596906938,-1.26666666666667,0.995939618577836,20619,82807,371.97479,19188,6
"raw20619.Apseud_SF42_IMS_08_08_20V_25Aug20","raw20619","target",0.998951748041984,0.108151128827519,0.0516666666666667,0.0233809038890002,0.0133333333333333,25.2036042396056,-0.183333333333333,0.991409393217787,20619,97322,371.97479,14964,6
