"PrecursorName","Replicate","Precursor.Mz","Retention.Time","Collisional.Cross.Section","methodCE","Total.Area","SignalToNoise","Mass.Error.PPM","RetentionTime.Error","CCS.Error","CountDetectedFragments","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","ConfidenceDescription"
"07_succinic acid","Muck_5042_IMS_5ul_R2_11_40V",117.019333,1.78,116.56,"40V",157569,157569,12.9,-0.02,-0.350291695264239,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"07_succinic acid","Muck_5042_IMS_5ul_R3_12_20V_redo",117.019333,1.78,116.56,"20V",198461,167569,12.2,-0.02,-0.349605353466025,2,0.998118910421298,0.0230940107675851,0.0133333333333333,0,0,10.9436435127125,8.26666666666667,0.989436216599496,"RT-CCS-DIA"
"07_succinic acid","Muck_5042_IMS_5ul_R3_12_40V",117.019333,1.78,116.56,"40V",150726,150726,11.4,-0.02,-0.350291695264239,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"08_alpha-ketoglutaric acid (aKG)","CJ019_WT_IMS_5ul_R1_01_20V_redo",145.014247,1.78,121.43,"20V",2030,2030,1.9,-0.02,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"08_alpha-ketoglutaric acid (aKG)","CJ019_WT_IMS_5ul_R1_01_40V",145.014247,1.78,121.43,"40V",7737,7737,14.2,-0.02,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"08_alpha-ketoglutaric acid (aKG)","CJ019_WT_IMS_5ul_R2_02_20V_redo",145.014247,5.3,121.43,"20V",NA,0.99999961675927,93.9,3.5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"08_alpha-ketoglutaric acid (aKG)","CJ019_WT_IMS_5ul_R2_02_40V",145.014247,1.77,121.43,"40V",452,452,-0.1,-0.03,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"08_alpha-ketoglutaric acid (aKG)","CJ019_WT_IMS_5ul_R3_03_20V_redo",145.014247,5.3,121.43,"20V",NA,0.99999961675927,93.9,3.5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"08_alpha-ketoglutaric acid (aKG)","CJ019_WT_IMS_5ul_R3_03_40V",145.014247,1.78,121.43,"40V",1469,1469,11.8,-0.02,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"08_alpha-ketoglutaric acid (aKG)","Muck_1642_IMS_5ul_R2_05_20V_redo",145.014247,1.77,121.43,"20V",4181,4181,9.1,-0.03,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"08_alpha-ketoglutaric acid (aKG)","Muck_1642_IMS_5ul_R2_05_40V",145.014247,1.78,121.43,"40V",8853,8853,7.7,-0.02,-0.0658815778638001,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"08_alpha-ketoglutaric acid (aKG)","Muck_1642_IMS_5ul_R3_06_20V_redo",145.014247,1.82,121.43,"20V",4440,4440,7.7,0.02,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"None"
