"PrecursorName","Replicate","Precursor.Mz","Retention.Time","Collisional.Cross.Section","methodCE","Total.Area","SignalToNoise","Mass.Error.PPM","RetentionTime.Error","CCS.Error","CountDetectedFragments","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","ConfidenceDescription"
"03_cis-aconitic acid","IMS_20V_HAHM_36h_R3_09",173.009162,2.03,124.63,"20V",16554,5189,7.1,0.03,NA,1,0.572118836230934,0.0353553390593276,-0.0250000000000001,0.0212132034355964,-0.015,0.919238815542512,6.45,0.209462866782863,"None"
"03_cis-aconitic acid","IMS_20V_HAHM_60h_R1_19",173.009162,1.85,124.63,"20V",5228,1898,-16.3,-0.15,NA,1,0.6433422791274,0.0282842712474618,-0.0199999999999999,0.0141421356237309,-0.01,9.47523086789974,-9.6,0.29910813729516,"None"
"03_cis-aconitic acid","IMS_20V_HAHM_60h_R2_20",173.009162,2,124.63,"20V",8437,3362,9.5,0,12.02,1,0.693183720295493,0.183847763108502,0.13,0,0,3.18198051533946,7.25,0.321296530057288,"None"
"03_cis-aconitic acid","IMS_20V_HAHM_60h_R3_21",173.009162,2.07,124.63,"20V",20066,9963,-11.5,0.07,10.43,2,0.832502203543662,0.0450924975282289,0.0466666666666666,0.0152752523165195,0.0133333333333333,12.7070846381064,-7.6,0.724615627540617,"None"
"03_cis-aconitic acid","IMS_20V_HALM_36h_R1_04",173.009162,2.08,124.63,"20V",17807,1419,-27.4,0.08,NA,2,0.265013184759587,0.088881944173156,0.1,0.124230967690562,-0.0766666666666667,18.557208841849,-14.1,0.00172420943760552,"None"
"03_cis-aconitic acid","IMS_20V_HALM_36h_R2_05",173.009162,2,124.63,"20V",5238,570,-27.9,0,11.23,1,0.297732523666487,0,0,0.0141421356237309,-0.01,25.8801081914276,-9.6,0.0120357095797891,"None"
"03_cis-aconitic acid","IMS_20V_HALM_36h_R3_06",173.009162,1.95,124.63,"20V",15193,3320,-2.3,-0.05,NA,1,0.438089282512355,0.0636396103067893,-0.045,0.190918830920368,-0.135,5.72756492761104,1.75,0.0033949809543436,"None"
"03_cis-aconitic acid","IMS_20V_HALM_60h_R1_16",173.009162,1.95,124.63,"20V",4543,1382,46.6,-0.05,NA,1,0.55882779208789,0.127279220613579,-0.09,0.0424264068711929,-0.03,32.7390439689372,23.45,5.84253855583978e-05,"None"
"03_cis-aconitic acid","IMS_20V_HALM_60h_R2_17",173.009162,1.94,124.63,"20V",3039,2230,36.1,-0.06,NA,1,0.985987836464338,0.0636396103067892,-0.0449999999999999,0.0141421356237309,0.01,37.476659402887,9.6,0.120505390375039,"None"
"03_cis-aconitic acid","IMS_20V_HALM_60h_R3_18",173.009162,1.65,124.63,"20V",4137,0,97.8,-0.35,NA,1,0.179826554115849,0.240416305603426,-0.17,0.247487373415292,0.175,62.6496608131281,53.5,0.00721189267873482,"None"
"03_cis-aconitic acid","IMS_20V_LAHM_36h_R1_10",173.009162,1.9,124.63,"20V",13124,2068,-21.4,-0.1,NA,1,0.357622852902903,0.0565685424949239,-0.04,0.0353553390593274,-0.025,19.869700551342,-7.35,0.00240256974532428,"None"
